学科代码,学科名称,学科门类,学校代码,学校名称,评估等级,省份,城市
202,应用经济学,人文社科类,10459,郑州大学,C+,河南省,郑州市
202,应用经济学,人文社科类,10484,河南财经政法大学,C+,河南省,郑州市
202,应用经济学,人文社科类,10511,华中师范大学,C+,湖北省,武汉市
202,应用经济学,人文社科类,10536,长沙理工大学,C+,湖南省,长沙市
202,应用经济学,人文社科类,10574,华南师范大学,C+,广东省,广州市
202,应用经济学,人文社科类,10592,广东财经大学,C+,广东省,广州市
202,应用经济学,人文社科类,10697,西北大学,C+,陕西省,西安市
202,应用经济学,人文社科类,10766,新疆财经大学,C+,新疆维吾尔自治区,乌鲁木齐市
202,应用经济学,人文社科类,11560,西安财经学院,C+,陕西省,西安市
202,应用经济学,人文社科类,11646,宁波大学,C+,浙江省,宁波市
202,应用经济学,人文社科类,11832,河北经贸大学,C+,河北省,石家庄市
202,应用经济学,人文社科类,10008,北京科技大学,C,北京市,北京市
202,应用经济学,人文社科类,10075,河北大学,C,河北省,保定市
202,应用经济学,人文社科类,10126,内蒙古大学,C,内蒙古自治区,呼和浩特市
202,应用经济学,人文社科类,10270,上海师范大学,C,上海市,上海市
202,应用经济学,人文社科类,10276,华东政法大学,C,上海市,上海市
202,应用经济学,人文社科类,10290,中国矿业大学,C,江苏省,徐州市
202,应用经济学,人文社科类,10295,江南大学,C,江苏省,无锡市
202,应用经济学,人文社科类,10299,江苏大学,C,江苏省,镇江市
202,应用经济学,人文社科类,10320,江苏师范大学,C,江苏省,徐州市
202,应用经济学,人文社科类,10338,浙江理工大学,C,浙江省,杭州市
202,应用经济学,人文社科类,10433,山东理工大学,C,山东省,淄博市
202,应用经济学,人文社科类,10589,海南大学,C,海南省,海口市
202,应用经济学,人文社科类,10652,西南政法大学,C,重庆市,重庆市
202,应用经济学,人文社科类,10656,西南民族大学,C,四川省,成都市
202,应用经济学,人文社科类,10671,贵州财经大学,C,贵州省,贵阳市
202,应用经济学,人文社科类,10673,云南大学,C,云南省,昆明市
202,应用经济学,人文社科类,10741,兰州财经大学,C,甘肃省,兰州市
202,应用经济学,人文社科类,11287,南京审计大学,C,江苏省,南京市
202,应用经济学,人文社科类,11414,中国石油大学,C,,
202,应用经济学,人文社科类,10052,中央民族大学,C-,北京市,北京市
202,应用经济学,人文社科类,10053,中国政法大学,C-,北京市,北京市
202,应用经济学,人文社科类,10058,天津工业大学,C-,天津市,天津市
202,应用经济学,人文社科类,10069,天津商业大学,C-,天津市,天津市
202,应用经济学,人文社科类,10139,内蒙古财经大学,C-,内蒙古自治区,呼和浩特市
202,应用经济学,人文社科类,10360,安徽工业大学,C-,安徽省,马鞍山市
202,应用经济学,人文社科类,10602,广西师范大学,C-,广西壮族自治区,桂林市
202,应用经济学,人文社科类,10657,贵州大学,C-,贵州省,贵阳市
202,应用经济学,人文社科类,10681,云南师范大学,C-,云南省,昆明市
202,应用经济学,人文社科类,10718,陕西师范大学,C-,陕西省,西安市
202,应用经济学,人文社科类,10759,石河子大学,C-,新疆维吾尔自治区,石河子市
202,应用经济学,人文社科类,11664,西安邮电大学,C-,陕西省,西安市
301,法学,人文社科类,10002,中国人民大学,A+,北京市,北京市
301,法学,人文社科类,10053,中国政法大学,A+,北京市,北京市
301,法学,人文社科类,10001,北京大学,A,北京市,北京市
301,法学,人文社科类,10003,清华大学,A,北京市,北京市
301,法学,人文社科类,10276,华东政法大学,A,上海市,上海市
301,法学,人文社科类,10486,武汉大学,A,湖北省,武汉市
301,法学,人文社科类,10652,西南政法大学,A,重庆市,重庆市
301,法学,人文社科类,10036,对外经济贸易大学,A-,北京市,北京市
301,法学,人文社科类,10183,吉林大学,A-,吉林省,长春市
301,法学,人文社科类,10248,上海交通大学,A-,上海市,上海市
301,法学,人文社科类,10284,南京大学,A-,江苏省,南京市
301,法学,人文社科类,10335,浙江大学,A-,浙江省,杭州市
301,法学,人文社科类,10384,厦门大学,A-,福建省,厦门市
301,法学,人文社科类,10520,中南财经政法大学,A-,湖北省,武汉市
301,法学,人文社科类,10006,北京航空航天大学,B+,北京市,北京市
301,法学,人文社科类,10027,北京师范大学,B+,北京市,北京市
301,法学,人文社科类,10055,南开大学,B+,天津市,天津市
301,法学,人文社科类,10140,辽宁大学,B+,辽宁省,沈阳市
301,法学,人文社科类,10246,复旦大学,B+,上海市,上海市
301,法学,人文社科类,10285,苏州大学,B+,江苏省,苏州市
301,法学,人文社科类,10319,南京师范大学,B+,江苏省,南京市
301,法学,人文社科类,10422,山东大学,B+,山东省,济南市
301,法学,人文社科类,10530,湘潭大学,B+,湖南省,湘潭市
301,法学,人文社科类,10533,中南大学,B+,湖南省,长沙市
301,法学,人文社科类,10558,中山大学,B+,广东省,广州市
301,法学,人文社科类,10610,四川大学,B+,四川省,成都市
301,法学,人文社科类,10611,重庆大学,B+,重庆市,重庆市
301,法学,人文社科类,10726,西北政法大学,B+,陕西省,西安市
301,法学,人文社科类,10034,中央财经大学,B,北京市,北京市
301,法学,人文社科类,10041,中国人民公安大学,B,北京市,北京市
301,法学,人文社科类,10151,大连海事大学,B,辽宁省,大连市
301,法学,人文社科类,10212,黑龙江大学,B,黑龙江省,哈尔滨市
301,法学,人文社科类,10247,同济大学,B,上海市,上海市
301,法学,人文社科类,10272,上海财经大学,B,上海市,上海市
301,法学,人文社科类,10357,安徽大学,B,安徽省,合肥市
301,法学,人文社科类,10421,江西财经大学,B,江西省,南昌市
301,法学,人文社科类,10423,中国海洋大学,B,山东省,青岛市
301,法学,人文社科类,10459,郑州大学,B,河南省,郑州市
301,法学,人文社科类,10532,湖南大学,B,湖南省,长沙市
301,法学,人文社科类,10542,湖南师范大学,B,湖南省,长沙市
301,法学,人文社科类,10589,海南大学,B,海南省,海口市
301,法学,人文社科类,10651,西南财经大学,B,四川省,成都市
301,法学,人文社科类,11066,烟台大学,B,山东省,烟台市
301,法学,人文社科类,10052,中央民族大学,B-,北京市,北京市
301,法学,人文社科类,10353,浙江工商大学,B-,浙江省,杭州市
301,法学,人文社科类,10386,福州大学,B-,福建省,福州市
301,法学,人文社科类,10475,河南大学,B-,河南省,开封市
301,法学,人文社科类,10487,华中科技大学,B-,湖北省,武汉市
301,法学,人文社科类,10559,暨南大学,B-,广东省,广州市
301,法学,人文社科类,10561,华南理工大学,B-,广东省,广州市
301,法学,人文社科类,10590,深圳大学,B-,广东省,深圳市
301,法学,人文社科类,10592,广东财经大学,B-,广东省,广州市
301,法学,人文社科类,10673,云南大学,B-,云南省,昆明市
301,法学,人文社科类,10698,西安交通大学,B-,陕西省,西安市
301,法学,人文社科类,10730,兰州大学,B-,甘肃省,兰州市
301,法学,人文社科类,11406,甘肃政法学院,B-,甘肃省,兰州市
