学科代码,学科名称,学科门类,学校代码,学校名称,评估等级
0302,政治学,人文社科类,10345,浙江师范大学,C
0302,政治学,人文社科类,10423,中国海洋大学,C
0302,政治学,人文社科类,10459,郑州大学,C
0302,政治学,人文社科类,10476,河南师范大学,C
0302,政治学,人文社科类,11846,广东外语外贸大学,C
0302,政治学,人文社科类,10165,辽宁师范大学,C-
0302,政治学,人文社科类,10447,聊城大学,C-
0302,政治学,人文社科类,10608,广西民族大学,C-
0302,政治学,人文社科类,10663,贵州师范大学,C-
0302,政治学,人文社科类,10718,陕西师范大学,C-
0302,政治学,人文社科类,10719,延安大学,C-
0302,政治学,人文社科类,10755,新疆大学,C-
0302,政治学,人文社科类,11065,青岛大学,C-
0303,社会学,人文社科类,10001,北京大学,A+
0303,社会学,人文社科类,10002,中国人民大学,A+
0303,社会学,人文社科类,10284,南京大学,A
0303,社会学,人文社科类,10003,清华大学,A-
0303,社会学,人文社科类,10246,复旦大学,A-
0303,社会学,人文社科类,10280,上海大学,A-
0303,社会学,人文社科类,10052,中央民族大学,B+
0303,社会学,人文社科类,10055,南开大学,B+
0303,社会学,人文社科类,10183,吉林大学,B+
0303,社会学,人文社科类,10251,华东理工大学,B+
0303,社会学,人文社科类,10269,华东师范大学,B+
0303,社会学,人文社科类,10487,华中科技大学,B+
0303,社会学,人文社科类,10558,中山大学,B+
0303,社会学,人文社科类,10019,中国农业大学,B
0303,社会学,人文社科类,10294,河海大学,B
0303,社会学,人文社科类,10335,浙江大学,B
0303,社会学,人文社科类,10384,厦门大学,B
0303,社会学,人文社科类,10486,武汉大学,B
0303,社会学,人文社科类,10511,华中师范大学,B
0303,社会学,人文社科类,10027,北京师范大学,B-
0303,社会学,人文社科类,10034,中央财经大学,B-
0303,社会学,人文社科类,10053,中国政法大学,B-
0303,社会学,人文社科类,10422,山东大学,B-
0303,社会学,人文社科类,10533,中南大学,B-
0303,社会学,人文社科类,10691,云南民族大学,B-
0303,社会学,人文社科类,10698,西安交通大学,B-
0303,社会学,人文社科类,10213,哈尔滨工业大学,C+
0303,社会学,人文社科类,10345,浙江师范大学,C+
0303,社会学,人文社科类,10357,安徽大学,C+
0303,社会学,人文社科类,10610,四川大学,C+
0303,社会学,人文社科类,10651,西南财经大学,C+
0303,社会学,人文社科类,10673,云南大学,C+
0303,社会学,人文社科类,10285,苏州大学,C
0303,社会学,人文社科类,10319,南京师范大学,C
0303,社会学,人文社科类,10427,济南大学,C
0303,社会学,人文社科类,10635,西南大学,C
0303,社会学,人文社科类,10672,贵州民族大学,C
0303,社会学,人文社科类,10712,西北农林科技大学,C
0303,社会学,人文社科类,10730,兰州大学,C
0303,社会学,人文社科类,10166,沈阳师范大学,C-
0303,社会学,人文社科类,10217,哈尔滨工程大学,C-
0303,社会学,人文社科类,10418,赣南师范大学,C-
0303,社会学,人文社科类,10542,湖南师范大学,C-
0303,社会学,人文社科类,10681,云南师范大学,C-
0303,社会学,人文社科类,10742,西北民族大学,C-
0304,民族学,人文社科类,10052,中央民族大学,A+
0304,民族学,人文社科类,10673,云南大学,A+
0304,民族学,人文社科类,10524,中南民族大学,A-
0304,民族学,人文社科类,10558,中山大学,B+
0304,民族学,人文社科类,10656,西南民族大学,B+
0304,民族学,人文社科类,10730,兰州大学,B+
0304,民族学,人文社科类,10126,内蒙古大学,B
0304,民族学,人文社科类,10608,广西民族大学,B
0304,民族学,人文社科类,10691,云南民族大学,B
0304,民族学,人文社科类,10384,厦门大学,B-
0304,民族学,人文社科类,10718,陕西师范大学,B-
0304,民族学,人文社科类,10749,宁夏大学,B-
0304,民族学,人文社科类,10610,四川大学,C+
0304,民族学,人文社科类,10742,西北民族大学,C+
0304,民族学,人文社科类,10762,新疆师范大学,C+
0304,民族学,人文社科类,10135,内蒙古师范大学,C
0304,民族学,人文社科类,10517,湖北民族学院,C
0304,民族学,人文社科类,10695,西藏民族大学,C
0304,民族学,人文社科类,10531,吉首大学,C-
0304,民族学,人文社科类,10672,贵州民族大学,C-
0304,民族学,人文社科类,11407,北方民族大学,C-
0305,马克思主义理论,人文社科类,10002,中国人民大学,A+
0305,马克思主义理论,人文社科类,10003,清华大学,A+
0305,马克思主义理论,人文社科类,10200,东北师范大学,A+
0305,马克思主义理论,人文社科类,10486,武汉大学,A+
0305,马克思主义理论,人文社科类,10001,北京大学,A
0305,马克思主义理论,人文社科类,10183,吉林大学,A
0305,马克思主义理论,人文社科类,10246,复旦大学,A
0305,马克思主义理论,人文社科类,10319,南京师范大学,A
0305,马克思主义理论,人文社科类,10422,山东大学,A
0305,马克思主义理论,人文社科类,10511,华中师范大学,A
0305,马克思主义理论,人文社科类,10558,中山大学,A
0305,马克思主义理论,人文社科类,10027,北京师范大学,A-
0305,马克思主义理论,人文社科类,10028,首都师范大学,A-
0305,马克思主义理论,人文社科类,10055,南开大学,A-
0305,马克思主义理论,人文社科类,10269,华东师范大学,A-
0305,马克思主义理论,人文社科类,10335,浙江大学,A-
0305,马克思主义理论,人文社科类,10394,福建师范大学,A-
0305,马克思主义理论,人文社科类,10414,江西师范大学,A-
0305,马克思主义理论,人文社科类,10533,中南大学,A-
0305,马克思主义理论,人文社科类,10574,华南师范大学,A-
0305,马克思主义理论,人文社科类,10610,四川大学,A-
0305,马克思主义理论,人文社科类,10635,西南大学,A-
0305,马克思主义理论,人文社科类,10698,西安交通大学,A-
0305,马克思主义理论,人文社科类,10004,北京交通大学,B+
0305,马克思主义理论,人文社科类,10034,中央财经大学,B+
0305,马克思主义理论,人文社科类,10065,天津师范大学,B+
0305,马克思主义理论,人文社科类,10140,辽宁大学,B+
0305,马克思主义理论,人文社科类,10231,哈尔滨师范大学,B+
0305,马克思主义理论,人文社科类,10247,同济大学,B+
0305,马克思主义理论,人文社科类,10272,上海财经大学,B+
0305,马克思主义理论,人文社科类,10280,上海大学,B+
0305,马克思主义理论,人文社科类,10284,南京大学,B+
0305,马克思主义理论,人文社科类,10285,苏州大学,B+
0305,马克思主义理论,人文社科类,10294,河海大学,B+
0305,马克思主义理论,人文社科类,10359,合肥工业大学,B+
0305,马克思主义理论,人文社科类,10445,山东师范大学,B+
0305,马克思主义理论,人文社科类,10459,郑州大学,B+
0305,马克思主义理论,人文社科类,10487,华中科技大学,B+
